Filebench Version 1.5-alpha3
0.000: Allocated 173MB of shared memory
0.002: Web-server Version 3.1 personality successfully loaded
0.002: Populating and pre-allocating filesets
0.005: logfiles populated: 1 files, avg. dir. width = 20, avg. dir. depth = 0.0, 0 leafdirs, 0.002MB total size
0.005: Removing logfiles tree (if exists)
0.007: Pre-allocating directories in logfiles tree
0.007: Pre-allocating files in logfiles tree
0.011: bigfileset populated: 8000 files, avg. dir. width = 20, avg. dir. depth = 3.0, 0 leafdirs, 123.244MB total size
0.011: Removing bigfileset tree (if exists)
0.618: Pre-allocating directories in bigfileset tree
0.663: Pre-allocating files in bigfileset tree
0.835: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
0.835: Population and pre-allocation of filesets completed
0.835: Starting 1 filereader instances
1.851: Running...and log for each ten seconds...
11.857: parser_run Run took 10 seconds...
11.915: Per-Operation Breakdown
appendlog            190582ops    19052ops/s 149.0mb/s 769825.7ns/op [36ns - 189794164ns]
closefile10          190484ops    19042ops/s   0.0mb/s   1295.1ns/op [274ns - 32552874ns]
readfile10           190484ops    19042ops/s 293.0mb/s   8279.6ns/op [869ns - 28564548ns]
openfile10           190484ops    19042ops/s   0.0mb/s 107738.9ns/op [1344ns - 117662344ns]
closefile9           190486ops    19042ops/s   0.0mb/s   1575.2ns/op [262ns - 85126414ns]
readfile9            190486ops    19042ops/s 293.6mb/s   8585.0ns/op [801ns - 51855412ns]
openfile9            190488ops    19043ops/s   0.0mb/s 107804.6ns/op [1224ns - 134291285ns]
closefile8           190488ops    19043ops/s   0.0mb/s   1144.5ns/op [280ns - 5653382ns]
readfile8            190488ops    19043ops/s 292.4mb/s   8547.0ns/op [829ns - 26718075ns]
openfile8            190490ops    19043ops/s   0.0mb/s 109470.6ns/op [1310ns - 201259421ns]
closefile7           190492ops    19043ops/s   0.0mb/s   1186.8ns/op [278ns - 18380309ns]
readfile7            190493ops    19043ops/s 292.9mb/s   9003.7ns/op [719ns - 71300818ns]
openfile7            190494ops    19043ops/s   0.0mb/s 109510.4ns/op [1270ns - 129253215ns]
closefile6           190497ops    19044ops/s   0.0mb/s   1161.8ns/op [274ns - 8765606ns]
readfile6            190497ops    19044ops/s 293.8mb/s   9339.6ns/op [876ns - 71588305ns]
openfile6            190500ops    19044ops/s   0.0mb/s 106549.9ns/op [1195ns - 115936331ns]
closefile5           190502ops    19044ops/s   0.0mb/s   1176.6ns/op [272ns - 5602597ns]
readfile5            190502ops    19044ops/s 293.4mb/s   8855.7ns/op [893ns - 69206358ns]
openfile5            190506ops    19044ops/s   0.0mb/s 109818.9ns/op [1195ns - 112755959ns]
closefile4           190506ops    19044ops/s   0.0mb/s   1343.8ns/op [272ns - 10206560ns]
readfile4            190507ops    19045ops/s 293.6mb/s   8726.2ns/op [849ns - 35884989ns]
openfile4            190509ops    19045ops/s   0.0mb/s 113856.2ns/op [1361ns - 135986426ns]
closefile3           190511ops    19045ops/s   0.0mb/s   1281.5ns/op [274ns - 11185712ns]
readfile3            190511ops    19045ops/s 294.2mb/s   8511.3ns/op [914ns - 40724279ns]
openfile3            190513ops    19045ops/s   0.0mb/s 114741.6ns/op [1301ns - 91810512ns]
closefile2           190514ops    19045ops/s   0.0mb/s   1248.7ns/op [275ns - 6850644ns]
readfile2            190514ops    19045ops/s 293.8mb/s   8977.9ns/op [910ns - 19098851ns]
openfile2            190518ops    19046ops/s   0.0mb/s 123182.8ns/op [1307ns - 90827773ns]
closefile1           190519ops    19046ops/s   0.0mb/s   1288.5ns/op [290ns - 6638335ns]
readfile1            190519ops    19046ops/s 293.1mb/s   9555.0ns/op [825ns - 67371475ns]
openfile1            190520ops    19046ops/s   0.0mb/s 127348.3ns/op [1359ns - 87486636ns]
11.915: IO Summary: 5905604 ops 590370.146 ops/s 190439/19052 rd/wr 3082.8mb/s   0.2ms/op
21.932: parser_run Run took 20 seconds...
21.983: Per-Operation Breakdown
appendlog            173776ops    17353ops/s 135.7mb/s 1028590.2ns/op [30ns - 204547983ns]
closefile10          173784ops    17353ops/s   0.0mb/s   1228.6ns/op [274ns - 24271678ns]
readfile10           173784ops    17353ops/s 267.4mb/s   8448.3ns/op [846ns - 24563238ns]
openfile10           173785ops    17354ops/s   0.0mb/s 104675.0ns/op [1204ns - 179385997ns]
closefile9           173786ops    17354ops/s   0.0mb/s   1115.8ns/op [276ns - 18589523ns]
readfile9            173786ops    17354ops/s 267.0mb/s   8312.2ns/op [828ns - 16609351ns]
openfile9            173784ops    17353ops/s   0.0mb/s 102398.1ns/op [1287ns - 79228138ns]
closefile8           173785ops    17354ops/s   0.0mb/s   1264.9ns/op [273ns - 6435808ns]
readfile8            173785ops    17354ops/s 267.0mb/s   8542.1ns/op [819ns - 28353806ns]
openfile8            173786ops    17354ops/s   0.0mb/s 102556.2ns/op [1253ns - 150083045ns]
closefile7           173784ops    17353ops/s   0.0mb/s   1269.6ns/op [278ns - 34981997ns]
readfile7            173784ops    17353ops/s 268.3mb/s   8237.5ns/op [821ns - 15071315ns]
openfile7            173783ops    17353ops/s   0.0mb/s 100474.5ns/op [1204ns - 186880962ns]
closefile6           173785ops    17354ops/s   0.0mb/s   1208.9ns/op [278ns - 15748100ns]
readfile6            173786ops    17354ops/s 268.2mb/s   8446.7ns/op [798ns - 50589829ns]
openfile6            173784ops    17353ops/s   0.0mb/s  99861.8ns/op [1219ns - 94149032ns]
closefile5           173782ops    17353ops/s   0.0mb/s   1138.6ns/op [276ns - 9942810ns]
readfile5            173782ops    17353ops/s 267.2mb/s   7813.7ns/op [700ns - 11820817ns]
openfile5            173779ops    17353ops/s   0.0mb/s 103234.0ns/op [1262ns - 74336409ns]
closefile4           173782ops    17353ops/s   0.0mb/s   1031.0ns/op [273ns - 6798954ns]
readfile4            173781ops    17353ops/s 267.0mb/s   8136.7ns/op [635ns - 16021792ns]
openfile4            173781ops    17353ops/s   0.0mb/s 106126.6ns/op [1221ns - 112771947ns]
closefile3           173781ops    17353ops/s   0.0mb/s   1125.6ns/op [277ns - 4686445ns]
readfile3            173781ops    17353ops/s 267.2mb/s   7876.9ns/op [784ns - 24911678ns]
openfile3            173779ops    17353ops/s   0.0mb/s 107403.4ns/op [1247ns - 77255986ns]
closefile2           173778ops    17353ops/s   0.0mb/s   1338.3ns/op [273ns - 8765467ns]
readfile2            173779ops    17353ops/s 266.9mb/s   8373.5ns/op [836ns - 11133051ns]
openfile2            173777ops    17353ops/s   0.0mb/s 117364.7ns/op [1284ns - 90660613ns]
closefile1           173777ops    17353ops/s   0.0mb/s   1363.4ns/op [282ns - 14239026ns]
readfile1            173777ops    17353ops/s 267.2mb/s   8276.5ns/op [833ns - 20138123ns]
openfile1            173780ops    17353ops/s   0.0mb/s 119780.6ns/op [1379ns - 158593594ns]
21.983: IO Summary: 5387243 ops 537951.803 ops/s 173533/17353 rd/wr 2809.0mb/s   0.2ms/op
31.984: parser_run Run took 30 seconds...
32.035: Per-Operation Breakdown
appendlog            173867ops    17385ops/s 135.8mb/s 801418.6ns/op [31ns - 135314785ns]
closefile10          173873ops    17386ops/s   0.0mb/s   1268.8ns/op [271ns - 23764052ns]
readfile10           173874ops    17386ops/s 268.5mb/s   8672.4ns/op [789ns - 37834918ns]
openfile10           173877ops    17386ops/s   0.0mb/s 107287.0ns/op [1328ns - 99597670ns]
closefile9           173875ops    17386ops/s   0.0mb/s   1134.9ns/op [274ns - 4818733ns]
readfile9            173875ops    17386ops/s 267.8mb/s   8196.7ns/op [804ns - 17926613ns]
openfile9            173880ops    17387ops/s   0.0mb/s 111348.4ns/op [1344ns - 230164602ns]
closefile8           173882ops    17387ops/s   0.0mb/s   1236.7ns/op [264ns - 8200986ns]
readfile8            173882ops    17387ops/s 268.4mb/s   8115.6ns/op [813ns - 14679516ns]
openfile8            173883ops    17387ops/s   0.0mb/s 107501.0ns/op [1272ns - 87310710ns]
closefile7           173884ops    17387ops/s   0.0mb/s   1130.4ns/op [266ns - 5978346ns]
readfile7            173883ops    17387ops/s 267.8mb/s   8392.6ns/op [807ns - 40490829ns]
openfile7            173886ops    17387ops/s   0.0mb/s 104231.4ns/op [1370ns - 163568856ns]
closefile6           173882ops    17387ops/s   0.0mb/s   1090.3ns/op [272ns - 5590006ns]
readfile6            173881ops    17387ops/s 268.0mb/s   8354.4ns/op [849ns - 21622827ns]
openfile6            173885ops    17387ops/s   0.0mb/s 112144.8ns/op [1318ns - 122217776ns]
closefile5           173890ops    17388ops/s   0.0mb/s   1114.5ns/op [273ns - 4707891ns]
readfile5            173890ops    17388ops/s 267.4mb/s   8578.5ns/op [795ns - 28234896ns]
openfile5            173893ops    17388ops/s   0.0mb/s 112111.2ns/op [1396ns - 109315635ns]
closefile4           173895ops    17388ops/s   0.0mb/s   1194.8ns/op [266ns - 13107659ns]
readfile4            173896ops    17388ops/s 268.0mb/s   8956.8ns/op [800ns - 40539883ns]
openfile4            173896ops    17388ops/s   0.0mb/s 110996.1ns/op [1341ns - 100040867ns]
closefile3           173898ops    17389ops/s   0.0mb/s   1305.9ns/op [269ns - 19607295ns]
readfile3            173898ops    17389ops/s 267.6mb/s   8455.5ns/op [845ns - 44228148ns]
openfile3            173902ops    17389ops/s   0.0mb/s 115182.5ns/op [1212ns - 115822988ns]
closefile2           173904ops    17389ops/s   0.0mb/s   1153.2ns/op [273ns - 7871268ns]
readfile2            173905ops    17389ops/s 267.5mb/s   8670.7ns/op [818ns - 70182968ns]
openfile2            173909ops    17390ops/s   0.0mb/s 121645.7ns/op [1377ns - 144910275ns]
closefile1           173914ops    17390ops/s   0.0mb/s   1459.2ns/op [287ns - 50107757ns]
readfile1            173914ops    17390ops/s 267.6mb/s   9018.8ns/op [871ns - 58294430ns]
openfile1            173920ops    17391ops/s   0.0mb/s 117546.7ns/op [1402ns - 147029432ns]
32.035: IO Summary: 5390593 ops 539019.160 ops/s 173877/17385 rd/wr 2814.6mb/s   0.2ms/op
42.041: parser_run Run took 40 seconds...
42.091: Per-Operation Breakdown
appendlog            170899ops    17084ops/s 133.5mb/s 1063673.0ns/op [26ns - 166421196ns]
closefile10          170898ops    17084ops/s   0.0mb/s   1367.8ns/op [278ns - 36123574ns]
readfile10           170897ops    17083ops/s 263.7mb/s   8699.1ns/op [858ns - 38319908ns]
openfile10           170899ops    17084ops/s   0.0mb/s 103562.3ns/op [1295ns - 98428995ns]
closefile9           170902ops    17084ops/s   0.0mb/s   1187.9ns/op [308ns - 8625707ns]
readfile9            170902ops    17084ops/s 263.7mb/s   8123.9ns/op [870ns - 20759215ns]
openfile9            170901ops    17084ops/s   0.0mb/s 105571.0ns/op [1360ns - 74482622ns]
closefile8           170902ops    17084ops/s   0.0mb/s   1356.2ns/op [282ns - 28314400ns]
readfile8            170902ops    17084ops/s 263.2mb/s   8159.7ns/op [908ns - 15224327ns]
openfile8            170901ops    17084ops/s   0.0mb/s 102271.5ns/op [1347ns - 84894996ns]
closefile7           170904ops    17084ops/s   0.0mb/s   1228.8ns/op [276ns - 40939894ns]
readfile7            170904ops    17084ops/s 262.1mb/s   9013.3ns/op [916ns - 53621526ns]
openfile7            170903ops    17084ops/s   0.0mb/s 106861.0ns/op [1349ns - 208882110ns]
closefile6           170905ops    17084ops/s   0.0mb/s   1021.4ns/op [275ns - 3217801ns]
readfile6            170905ops    17084ops/s 263.3mb/s   8742.5ns/op [946ns - 55627896ns]
openfile6            170903ops    17084ops/s   0.0mb/s 106006.0ns/op [1435ns - 71049876ns]
closefile5           170899ops    17084ops/s   0.0mb/s   1129.7ns/op [276ns - 8965109ns]
