Filebench Version 1.5-alpha3
0.000: Allocated 173MB of shared memory
0.002: Web-server Version 3.1 personality successfully loaded
0.002: Populating and pre-allocating filesets
0.004: logfiles populated: 1 files, avg. dir. width = 20, avg. dir. depth = 0.0, 0 leafdirs, 0.002MB total size
0.004: Removing logfiles tree (if exists)
0.007: Pre-allocating directories in logfiles tree
0.007: Pre-allocating files in logfiles tree
0.011: bigfileset populated: 8000 files, avg. dir. width = 20, avg. dir. depth = 3.0, 0 leafdirs, 123.244MB total size
0.011: Removing bigfileset tree (if exists)
1.081: Pre-allocating directories in bigfileset tree
1.100: Pre-allocating files in bigfileset tree
1.631: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
1.631: Population and pre-allocation of filesets completed
1.631: Starting 1 filereader instances
2.635: Running...and log for each ten seconds...
12.642: parser_run Run took 10 seconds...
12.693: Per-Operation Breakdown
appendlog            196734ops    19665ops/s 153.5mb/s 652101.3ns/op [34ns - 151883376ns]
closefile10          196641ops    19656ops/s   0.0mb/s   1045.3ns/op [282ns - 5168519ns]
readfile10           196641ops    19656ops/s 302.7mb/s   7925.6ns/op [911ns - 14635752ns]
openfile10           196643ops    19656ops/s   0.0mb/s 108380.4ns/op [1218ns - 94454098ns]
closefile9           196646ops    19656ops/s   0.0mb/s   1115.0ns/op [288ns - 5784397ns]
readfile9            196647ops    19656ops/s 303.1mb/s   7625.7ns/op [801ns - 10206852ns]
openfile9            196651ops    19657ops/s   0.0mb/s 108784.5ns/op [1343ns - 166390061ns]
closefile8           196652ops    19657ops/s   0.0mb/s   1025.6ns/op [278ns - 2956821ns]
readfile8            196652ops    19657ops/s 302.9mb/s   8753.3ns/op [825ns - 55478808ns]
openfile8            196655ops    19657ops/s   0.0mb/s 110512.5ns/op [1219ns - 87697211ns]
closefile7           196658ops    19657ops/s   0.0mb/s   1197.4ns/op [277ns - 14519981ns]
readfile7            196659ops    19657ops/s 302.6mb/s   8496.1ns/op [835ns - 41794331ns]
openfile7            196661ops    19658ops/s   0.0mb/s 109148.2ns/op [1276ns - 95956218ns]
closefile6           196665ops    19658ops/s   0.0mb/s    973.6ns/op [268ns - 4165523ns]
readfile6            196665ops    19658ops/s 303.0mb/s   8562.1ns/op [889ns - 24555015ns]
openfile6            196668ops    19658ops/s   0.0mb/s 104720.4ns/op [1236ns - 101764481ns]
closefile5           196670ops    19659ops/s   0.0mb/s   1082.0ns/op [278ns - 6181701ns]
readfile5            196671ops    19659ops/s 303.3mb/s   8337.1ns/op [846ns - 30336118ns]
openfile5            196674ops    19659ops/s   0.0mb/s 108266.3ns/op [1340ns - 95816527ns]
closefile4           196676ops    19659ops/s   0.0mb/s   1503.4ns/op [283ns - 55475910ns]
readfile4            196676ops    19659ops/s 302.3mb/s   7802.4ns/op [747ns - 18678914ns]
openfile4            196679ops    19659ops/s   0.0mb/s 111759.7ns/op [1260ns - 134165003ns]
closefile3           196681ops    19660ops/s   0.0mb/s   1047.6ns/op [279ns - 4021588ns]
readfile3            196681ops    19660ops/s 302.2mb/s   8415.5ns/op [775ns - 16502716ns]
openfile3            196683ops    19660ops/s   0.0mb/s 114110.8ns/op [1288ns - 96338131ns]
closefile2           196685ops    19660ops/s   0.0mb/s   1443.6ns/op [285ns - 55377160ns]
readfile2            196685ops    19660ops/s 302.6mb/s   8338.7ns/op [844ns - 13071651ns]
openfile2            196688ops    19660ops/s   0.0mb/s 121036.5ns/op [1288ns - 133904981ns]
closefile1           196689ops    19660ops/s   0.0mb/s   1249.1ns/op [284ns - 3858026ns]
readfile1            196691ops    19661ops/s 303.6mb/s   8457.3ns/op [876ns - 8654622ns]
openfile1            196693ops    19661ops/s   0.0mb/s 127300.6ns/op [1535ns - 176931771ns]
12.693: IO Summary: 6096760 ops 609413.753 ops/s 196582/19665 rd/wr 3181.9mb/s   0.2ms/op
22.708: parser_run Run took 20 seconds...
22.758: Per-Operation Breakdown
appendlog            180948ops    18071ops/s 141.3mb/s 768673.8ns/op [39ns - 80204349ns]
closefile10          180956ops    18072ops/s   0.0mb/s   1287.4ns/op [279ns - 25126614ns]
readfile10           180956ops    18072ops/s 277.8mb/s   7952.2ns/op [916ns - 45225691ns]
openfile10           180958ops    18072ops/s   0.0mb/s 104646.8ns/op [1427ns - 74534706ns]
closefile9           180958ops    18072ops/s   0.0mb/s   1091.8ns/op [280ns - 4491696ns]
readfile9            180957ops    18072ops/s 278.0mb/s   8133.4ns/op [937ns - 17821369ns]
openfile9            180956ops    18072ops/s   0.0mb/s 104141.5ns/op [1565ns - 74922420ns]
closefile8           180960ops    18072ops/s   0.0mb/s   1209.6ns/op [325ns - 5859386ns]
readfile8            180961ops    18072ops/s 278.3mb/s   8181.9ns/op [830ns - 25245954ns]
openfile8            180962ops    18072ops/s   0.0mb/s 104551.9ns/op [1454ns - 55083133ns]
closefile7           180969ops    18073ops/s   0.0mb/s   1060.4ns/op [274ns - 5335753ns]
readfile7            180968ops    18073ops/s 278.1mb/s   8192.9ns/op [942ns - 19189179ns]
openfile7            180971ops    18073ops/s   0.0mb/s 107181.9ns/op [1498ns - 119580389ns]
closefile6           180975ops    18074ops/s   0.0mb/s   1072.0ns/op [287ns - 4916146ns]
readfile6            180975ops    18074ops/s 278.9mb/s   8552.0ns/op [953ns - 46680952ns]
openfile6            180975ops    18074ops/s   0.0mb/s 104322.0ns/op [1617ns - 79350914ns]
closefile5           180974ops    18074ops/s   0.0mb/s   1183.9ns/op [281ns - 12828880ns]
readfile5            180973ops    18074ops/s 278.8mb/s   8496.9ns/op [910ns - 29689826ns]
