Filebench Version 1.5-alpha3
0.000: Allocated 173MB of shared memory
0.002: Web-server Version 3.1 personality successfully loaded
0.002: Populating and pre-allocating filesets
0.004: logfiles populated: 1 files, avg. dir. width = 20, avg. dir. depth = 0.0, 0 leafdirs, 0.002MB total size
0.004: Removing logfiles tree (if exists)
0.006: Pre-allocating directories in logfiles tree
0.006: Pre-allocating files in logfiles tree
0.010: bigfileset populated: 8000 files, avg. dir. width = 20, avg. dir. depth = 3.0, 0 leafdirs, 123.244MB total size
0.010: Removing bigfileset tree (if exists)
1.088: Pre-allocating directories in bigfileset tree
1.093: Pre-allocating files in bigfileset tree
1.606: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
1.606: Population and pre-allocation of filesets completed
1.607: Starting 1 filereader instances
2.610: Running...and log for each ten seconds...
12.613: parser_run Run took 10 seconds...
12.663: Per-Operation Breakdown
appendlog            194230ops    19421ops/s 151.7mb/s 720048.7ns/op [36ns - 224386071ns]
closefile10          194138ops    19412ops/s   0.0mb/s   1106.7ns/op [275ns - 11118737ns]
readfile10           194138ops    19412ops/s 299.8mb/s   7715.6ns/op [823ns - 12810968ns]
openfile10           194144ops    19412ops/s   0.0mb/s 105079.6ns/op [1238ns - 108540357ns]
closefile9           194148ops    19413ops/s   0.0mb/s   1182.3ns/op [288ns - 6074603ns]
readfile9            194148ops    19413ops/s 298.9mb/s   7756.8ns/op [913ns - 16291237ns]
openfile9            194152ops    19413ops/s   0.0mb/s 105489.3ns/op [1192ns - 108890131ns]
closefile8           194156ops    19414ops/s   0.0mb/s   1117.2ns/op [282ns - 5847954ns]
readfile8            194156ops    19414ops/s 298.3mb/s   8103.4ns/op [877ns - 9028842ns]
openfile8            194159ops    19414ops/s   0.0mb/s 107082.8ns/op [1324ns - 109891058ns]
closefile7           194164ops    19414ops/s   0.0mb/s   1165.0ns/op [276ns - 4827456ns]
readfile7            194164ops    19414ops/s 299.5mb/s   8002.2ns/op [895ns - 11353381ns]
openfile7            194166ops    19415ops/s   0.0mb/s 106726.2ns/op [1484ns - 140578335ns]
closefile6           194168ops    19415ops/s   0.0mb/s   1147.5ns/op [280ns - 13611942ns]
readfile6            194168ops    19415ops/s 298.9mb/s   8306.0ns/op [869ns - 51498300ns]
openfile6            194171ops    19415ops/s   0.0mb/s 103618.4ns/op [1480ns - 69549718ns]
closefile5           194175ops    19415ops/s   0.0mb/s   1149.5ns/op [282ns - 15758067ns]
readfile5            194175ops    19415ops/s 299.0mb/s   8119.9ns/op [973ns - 19108663ns]
openfile5            194179ops    19416ops/s   0.0mb/s 104371.5ns/op [1473ns - 57140703ns]
closefile4           194182ops    19416ops/s   0.0mb/s   1148.8ns/op [277ns - 12894379ns]
readfile4            194182ops    19416ops/s 298.9mb/s   8292.8ns/op [844ns - 10835077ns]
openfile4            194185ops    19416ops/s   0.0mb/s 108103.1ns/op [1387ns - 78417119ns]
closefile3           194186ops    19417ops/s   0.0mb/s   1004.2ns/op [276ns - 3811452ns]
readfile3            194186ops    19417ops/s 298.6mb/s   8199.3ns/op [891ns - 33224090ns]
openfile3            194188ops    19417ops/s   0.0mb/s 112760.5ns/op [1446ns - 100457318ns]
closefile2           194192ops    19417ops/s   0.0mb/s   1246.8ns/op [280ns - 5298790ns]
readfile2            194193ops    19417ops/s 298.9mb/s   8693.5ns/op [878ns - 31265337ns]
openfile2            194196ops    19418ops/s   0.0mb/s 119220.3ns/op [1334ns - 141984517ns]
closefile1           194198ops    19418ops/s   0.0mb/s   1235.3ns/op [352ns - 8369249ns]
readfile1            194199ops    19418ops/s 300.2mb/s   8885.2ns/op [967ns - 41315622ns]
openfile1            194202ops    19418ops/s   0.0mb/s 121966.4ns/op [1624ns - 125700155ns]
12.663: IO Summary: 6019388 ops 601876.295 ops/s 194151/19421 rd/wr 3142.6mb/s   0.2ms/op
22.667: parser_run Run took 20 seconds...
22.715: Per-Operation Breakdown
appendlog            178837ops    17879ops/s 139.4mb/s 772024.6ns/op [39ns - 111311715ns]
closefile10          178833ops    17879ops/s   0.0mb/s   1148.0ns/op [272ns - 9690131ns]
readfile10           178833ops    17879ops/s 275.0mb/s   8038.4ns/op [946ns - 61442514ns]
openfile10           178833ops    17879ops/s   0.0mb/s 106756.1ns/op [1252ns - 107704002ns]
closefile9           178839ops    17879ops/s   0.0mb/s   1156.9ns/op [281ns - 16357663ns]
readfile9            178840ops    17879ops/s 275.8mb/s   8044.4ns/op [917ns - 20962798ns]
openfile9            178838ops    17879ops/s   0.0mb/s 107720.9ns/op [1277ns - 147838243ns]
closefile8           178838ops    17879ops/s   0.0mb/s   1155.3ns/op [331ns - 31189861ns]
readfile8            178838ops    17879ops/s 275.8mb/s   7664.3ns/op [940ns - 19837602ns]
openfile8            178839ops    17879ops/s   0.0mb/s 103850.8ns/op [1361ns - 121497239ns]
closefile7           178836ops    17879ops/s   0.0mb/s   1137.7ns/op [295ns - 6043651ns]
readfile7            178836ops    17879ops/s 275.2mb/s   7288.8ns/op [928ns - 17635222ns]
openfile7            178840ops    17879ops/s   0.0mb/s 105644.4ns/op [1508ns - 105797783ns]
closefile6           178844ops    17880ops/s   0.0mb/s   1067.2ns/op [288ns - 10901221ns]
readfile6            178844ops    17880ops/s 275.3mb/s   8011.4ns/op [792ns - 26020917ns]
openfile6            178846ops    17880ops/s   0.0mb/s 103822.5ns/op [1473ns - 145858333ns]
closefile5           178846ops    17880ops/s   0.0mb/s   1068.8ns/op [294ns - 5502858ns]
readfile5            178846ops    17880ops/s 275.0mb/s   7694.6ns/op [880ns - 20559820ns]
openfile5            178849ops    17880ops/s   0.0mb/s 102968.0ns/op [1506ns - 71975790ns]
closefile4           178852ops    17881ops/s   0.0mb/s   1196.3ns/op [326ns - 6588659ns]
readfile4            178852ops    17881ops/s 275.6mb/s   7896.8ns/op [957ns - 28901341ns]
openfile4            178853ops    17881ops/s   0.0mb/s 107936.5ns/op [1545ns - 156093784ns]
closefile3           178856ops    17881ops/s   0.0mb/s   1140.9ns/op [280ns - 6642300ns]
readfile3            178856ops    17881ops/s 275.0mb/s   7588.5ns/op [908ns - 37015181ns]
openfile3            178861ops    17881ops/s   0.0mb/s 112260.8ns/op [1506ns - 129849547ns]
closefile2           178862ops    17882ops/s   0.0mb/s   1055.6ns/op [288ns - 4904179ns]
readfile2            178862ops    17882ops/s 275.5mb/s   8218.1ns/op [954ns - 20019551ns]
openfile2            178863ops    17882ops/s   0.0mb/s 117532.6ns/op [1512ns - 126183436ns]
closefile1           178865ops    17882ops/s   0.0mb/s   1081.4ns/op [375ns - 4295624ns]
readfile1            178865ops    17882ops/s 276.2mb/s   8130.1ns/op [988ns - 14738779ns]
openfile1            178866ops    17882ops/s   0.0mb/s 117943.5ns/op [1725ns - 72793096ns]
22.716: IO Summary: 5544268 ops 554284.089 ops/s 178801/17879 rd/wr 2893.9mb/s   0.2ms/op
32.718: parser_run Run took 30 seconds...
32.767: Per-Operation Breakdown
appendlog            174485ops    17447ops/s 136.2mb/s 1199460.0ns/op [36ns - 153963937ns]
closefile10          174485ops    17447ops/s   0.0mb/s    974.7ns/op [278ns - 4294860ns]
readfile10           174485ops    17447ops/s 268.7mb/s   7745.9ns/op [832ns - 12837029ns]
openfile10           174480ops    17447ops/s   0.0mb/s  94009.0ns/op [1192ns - 84689871ns]
closefile9           174471ops    17446ops/s   0.0mb/s   1142.0ns/op [274ns - 5814064ns]
readfile9            174470ops    17446ops/s 268.6mb/s   7838.1ns/op [851ns - 29118065ns]
openfile9            174470ops    17446ops/s   0.0mb/s  95274.5ns/op [1214ns - 124893943ns]
closefile8           174466ops    17445ops/s   0.0mb/s   1610.1ns/op [278ns - 40898662ns]
readfile8            174466ops    17445ops/s 268.3mb/s   7761.4ns/op [726ns - 42037785ns]
openfile8            174464ops    17445ops/s   0.0mb/s  99690.7ns/op [1214ns - 136955602ns]
closefile7           174466ops    17445ops/s   0.0mb/s   2606.2ns/op [269ns - 120128958ns]
readfile7            174466ops    17445ops/s 269.3mb/s   8182.6ns/op [856ns - 44486261ns]
openfile7            174462ops    17445ops/s   0.0mb/s  97690.1ns/op [1211ns - 107765087ns]
closefile6           174458ops    17445ops/s   0.0mb/s   1384.7ns/op [276ns - 38722802ns]
readfile6            174458ops    17445ops/s 269.6mb/s   8926.0ns/op [786ns - 46805023ns]
openfile6            174456ops    17444ops/s   0.0mb/s  99143.4ns/op [1212ns - 94391187ns]
closefile5           174452ops    17444ops/s   0.0mb/s   1103.1ns/op [273ns - 10608859ns]
readfile5            174452ops    17444ops/s 268.5mb/s   8204.1ns/op [823ns - 35596652ns]
openfile5            174445ops    17443ops/s   0.0mb/s  97035.3ns/op [1144ns - 89253044ns]
closefile4           174441ops    17443ops/s   0.0mb/s   1113.1ns/op [272ns - 9602652ns]
readfile4            174441ops    17443ops/s 269.0mb/s   7787.6ns/op [793ns - 57975577ns]
openfile4            174439ops    17443ops/s   0.0mb/s  99144.1ns/op [1145ns - 135651537ns]
closefile3           174438ops    17443ops/s   0.0mb/s   1262.2ns/op [271ns - 17721475ns]
readfile3            174438ops    17443ops/s 267.9mb/s   8873.7ns/op [810ns - 67787145ns]
openfile3            174430ops    17442ops/s   0.0mb/s 105008.9ns/op [1216ns - 123391938ns]
closefile2           174431ops    17442ops/s   0.0mb/s   1032.0ns/op [277ns - 3731226ns]
readfile2            174430ops    17442ops/s 268.7mb/s   8173.7ns/op [828ns - 27489467ns]
openfile2            174430ops    17442ops/s   0.0mb/s 110471.1ns/op [1217ns - 143786293ns]
closefile1           174426ops    17441ops/s   0.0mb/s   1245.4ns/op [287ns - 7049826ns]
readfile1            174426ops    17441ops/s 268.8mb/s   8925.3ns/op [813ns - 77159489ns]
openfile1            174422ops    17441ops/s   0.0mb/s 111923.1ns/op [1337ns - 149281935ns]
32.767: IO Summary: 5408049 ops 540766.819 ops/s 174441/17447 rd/wr 2823.5mb/s   0.2ms/op
42.770: parser_run Run took 40 seconds...
42.818: Per-Operation Breakdown
appendlog            172293ops    17228ops/s 134.4mb/s 907860.0ns/op [34ns - 147529130ns]
closefile10          172295ops    17228ops/s   0.0mb/s   1288.1ns/op [280ns - 9900997ns]
readfile10           172295ops    17228ops/s 264.9mb/s   8560.3ns/op [873ns - 52047393ns]
