Filebench Version 1.5-alpha3
0.000: Allocated 173MB of shared memory
0.001: Web-server Version 3.1 personality successfully loaded
0.001: Populating and pre-allocating filesets
0.001: logfiles populated: 1 files, avg. dir. width = 20, avg. dir. depth = 0.0, 0 leafdirs, 0.002MB total size
0.001: Removing logfiles tree (if exists)
0.002: Pre-allocating directories in logfiles tree
0.002: Pre-allocating files in logfiles tree
0.006: bigfileset populated: 8000 files, avg. dir. width = 20, avg. dir. depth = 3.0, 0 leafdirs, 123.244MB total size
0.006: Removing bigfileset tree (if exists)
0.800: Pre-allocating directories in bigfileset tree
0.804: Pre-allocating files in bigfileset tree
1.668: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
1.668: Population and pre-allocation of filesets completed
1.668: Starting 1 filereader instances
2.672: Running...and log for each ten seconds...
12.675: parser_run Run took 10 seconds...
12.727: Per-Operation Breakdown
appendlog            108407ops    10840ops/s  84.8mb/s 5796274.9ns/op [38ns - 332621355ns]
closefile10          108358ops    10835ops/s   0.0mb/s   1315.8ns/op [254ns - 61243537ns]
readfile10           108358ops    10835ops/s 166.9mb/s   6062.3ns/op [931ns - 11360346ns]
openfile10           108358ops    10835ops/s   0.0mb/s  77059.2ns/op [1343ns - 175724745ns]
closefile9           108358ops    10835ops/s   0.0mb/s    990.7ns/op [253ns - 23656832ns]
readfile9            108358ops    10835ops/s 166.3mb/s  13075.7ns/op [829ns - 314228207ns]
openfile9            108358ops    10835ops/s   0.0mb/s  73116.6ns/op [1440ns - 150813992ns]
closefile8           108358ops    10835ops/s   0.0mb/s    680.5ns/op [254ns - 3510631ns]
readfile8            108358ops    10835ops/s 166.9mb/s   7671.8ns/op [958ns - 60127474ns]
openfile8            108358ops    10835ops/s   0.0mb/s  74377.6ns/op [1522ns - 112853475ns]
closefile7           108358ops    10835ops/s   0.0mb/s    667.0ns/op [260ns - 1078819ns]
readfile7            108358ops    10835ops/s 167.0mb/s   6150.4ns/op [972ns - 17329699ns]
openfile7            108358ops    10835ops/s   0.0mb/s  72609.5ns/op [1426ns - 134482335ns]
closefile6           108358ops    10835ops/s   0.0mb/s    806.6ns/op [261ns - 6971789ns]
readfile6            108358ops    10835ops/s 167.0mb/s   7393.4ns/op [937ns - 50918226ns]
openfile6            108358ops    10835ops/s   0.0mb/s  75375.3ns/op [1516ns - 114789509ns]
closefile5           108358ops    10835ops/s   0.0mb/s    778.3ns/op [252ns - 10082505ns]
readfile5            108358ops    10835ops/s 166.6mb/s   8312.8ns/op [915ns - 73925676ns]
openfile5            108358ops    10835ops/s   0.0mb/s  84963.0ns/op [1469ns - 141445728ns]
closefile4           108358ops    10835ops/s   0.0mb/s    923.3ns/op [259ns - 22636175ns]
readfile4            108358ops    10835ops/s 166.8mb/s   8024.6ns/op [959ns - 55917066ns]
openfile4            108358ops    10835ops/s   0.0mb/s  86257.2ns/op [1520ns - 197818572ns]
closefile3           108358ops    10835ops/s   0.0mb/s    796.2ns/op [252ns - 5180191ns]
readfile3            108358ops    10835ops/s 167.1mb/s   7592.3ns/op [973ns - 38389281ns]
openfile3            108358ops    10835ops/s   0.0mb/s  80936.5ns/op [1569ns - 189666747ns]
closefile2           108358ops    10835ops/s   0.0mb/s    710.0ns/op [259ns - 3702476ns]
readfile2            108358ops    10835ops/s 167.2mb/s   7915.3ns/op [995ns - 50088214ns]
openfile2            108358ops    10835ops/s   0.0mb/s  89150.9ns/op [1644ns - 138958512ns]
closefile1           108358ops    10835ops/s   0.0mb/s    773.9ns/op [289ns - 4781294ns]
readfile1            108358ops    10835ops/s 167.3mb/s 160463.1ns/op [1003ns - 308091941ns]
openfile1            108358ops    10835ops/s   0.0mb/s 113407.0ns/op [1990ns - 191820600ns]
12.727: IO Summary: 3359147 ops 335892.781 ops/s 108351/10840 rd/wr 1753.8mb/s   0.6ms/op
22.744: parser_run Run took 20 seconds...
22.794: Per-Operation Breakdown
appendlog            106201ops    10604ops/s  82.8mb/s 5502126.5ns/op [34ns - 395006571ns]
closefile10          106205ops    10604ops/s   0.0mb/s    860.5ns/op [257ns - 11130202ns]
readfile10           106205ops    10604ops/s 162.7mb/s   6410.7ns/op [873ns - 17822436ns]
openfile10           106208ops    10604ops/s   0.0mb/s  73167.6ns/op [1378ns - 109697180ns]
closefile9           106213ops    10605ops/s   0.0mb/s   1008.8ns/op [260ns - 23448368ns]
readfile9            106213ops    10605ops/s 163.9mb/s   6272.5ns/op [880ns - 14441786ns]
openfile9            106217ops    10605ops/s   0.0mb/s  71275.0ns/op [1409ns - 125183715ns]
closefile8           106220ops    10606ops/s   0.0mb/s    709.1ns/op [251ns - 4359524ns]
readfile8            106220ops    10606ops/s 163.5mb/s   7609.7ns/op [932ns - 38874659ns]
openfile8            106224ops    10606ops/s   0.0mb/s  67962.9ns/op [1421ns - 130883010ns]
closefile7           106227ops    10606ops/s   0.0mb/s    687.9ns/op [253ns - 2224869ns]
readfile7            106228ops    10606ops/s 163.4mb/s   6549.0ns/op [876ns - 29656497ns]
openfile7            106235ops    10607ops/s   0.0mb/s  69391.3ns/op [1450ns - 169068566ns]
closefile6           106237ops    10607ops/s   0.0mb/s   1204.0ns/op [257ns - 36166455ns]
readfile6            106237ops    10607ops/s 163.5mb/s   7381.2ns/op [923ns - 64153328ns]
