Filebench Version 1.5-alpha3
0.000: Allocated 173MB of shared memory
0.001: Web-server Version 3.1 personality successfully loaded
0.001: Populating and pre-allocating filesets
0.001: logfiles populated: 1 files, avg. dir. width = 20, avg. dir. depth = 0.0, 0 leafdirs, 0.002MB total size
0.001: Removing logfiles tree (if exists)
0.002: Pre-allocating directories in logfiles tree
0.002: Pre-allocating files in logfiles tree
0.006: bigfileset populated: 8000 files, avg. dir. width = 20, avg. dir. depth = 3.0, 0 leafdirs, 123.244MB total size
0.006: Removing bigfileset tree (if exists)
0.429: Pre-allocating directories in bigfileset tree
0.434: Pre-allocating files in bigfileset tree
0.567: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
0.567: Population and pre-allocation of filesets completed
0.567: Starting 1 filereader instances
1.570: Running...and log for each ten seconds...
11.573: parser_run Run took 10 seconds...
11.638: Per-Operation Breakdown
appendlog            201548ops    20154ops/s 157.7mb/s 408901.0ns/op [36ns - 75089264ns]
closefile10          201460ops    20145ops/s   0.0mb/s    967.0ns/op [255ns - 3066325ns]
readfile10           201460ops    20145ops/s 310.4mb/s   8211.0ns/op [973ns - 15879992ns]
openfile10           201460ops    20145ops/s   0.0mb/s 112112.5ns/op [1603ns - 57668176ns]
closefile9           201461ops    20145ops/s   0.0mb/s   1068.4ns/op [256ns - 18448161ns]
readfile9            201461ops    20145ops/s 310.2mb/s   8147.8ns/op [944ns - 6805862ns]
openfile9            201461ops    20145ops/s   0.0mb/s 111284.3ns/op [1616ns - 55527452ns]
closefile8           201461ops    20145ops/s   0.0mb/s    945.9ns/op [257ns - 4294423ns]
readfile8            201461ops    20145ops/s 310.5mb/s   7739.7ns/op [915ns - 5899261ns]
openfile8            201462ops    20145ops/s   0.0mb/s 112637.7ns/op [1518ns - 45439096ns]
closefile7           201462ops    20145ops/s   0.0mb/s   1046.4ns/op [260ns - 8942609ns]
readfile7            201462ops    20145ops/s 310.1mb/s   8090.8ns/op [983ns - 22815028ns]
openfile7            201464ops    20145ops/s   0.0mb/s 114957.8ns/op [1439ns - 148768747ns]
closefile6           201464ops    20145ops/s   0.0mb/s   1047.2ns/op [262ns - 6328576ns]
readfile6            201464ops    20145ops/s 310.0mb/s   8249.1ns/op [1039ns - 35651408ns]
openfile6            201464ops    20145ops/s   0.0mb/s 116114.8ns/op [1502ns - 67249388ns]
closefile5           201464ops    20145ops/s   0.0mb/s    937.4ns/op [259ns - 3513418ns]
readfile5            201464ops    20145ops/s 310.4mb/s   8247.4ns/op [845ns - 14183561ns]
openfile5            201465ops    20145ops/s   0.0mb/s 114399.8ns/op [1475ns - 44290425ns]
closefile4           201467ops    20145ops/s   0.0mb/s    828.5ns/op [259ns - 4660488ns]
readfile4            201467ops    20145ops/s 311.0mb/s   8135.1ns/op [933ns - 12428309ns]
openfile4            201467ops    20145ops/s   0.0mb/s 117065.8ns/op [1605ns - 59579121ns]
closefile3           201469ops    20146ops/s   0.0mb/s    826.1ns/op [262ns - 5712864ns]
readfile3            201469ops    20146ops/s 310.1mb/s   8861.9ns/op [1019ns - 84596451ns]
openfile3            201471ops    20146ops/s   0.0mb/s 119652.8ns/op [1701ns - 58228649ns]
closefile2           201471ops    20146ops/s   0.0mb/s   1021.6ns/op [265ns - 10199362ns]
readfile2            201471ops    20146ops/s 309.3mb/s   8473.6ns/op [1025ns - 27427594ns]
openfile2            201473ops    20146ops/s   0.0mb/s 124077.8ns/op [1593ns - 78908379ns]
closefile1           201475ops    20146ops/s   0.0mb/s   1042.8ns/op [268ns - 5462219ns]
readfile1            201475ops    20146ops/s 311.4mb/s   8558.8ns/op [1043ns - 15912218ns]
openfile1            201477ops    20146ops/s   0.0mb/s 129593.5ns/op [1870ns - 159299846ns]
11.638: IO Summary: 6245520 ops 624511.800 ops/s 201452/20154 rd/wr 3261.1mb/s   0.2ms/op
21.641: parser_run Run took 20 seconds...
21.709: Per-Operation Breakdown
appendlog            178121ops    17809ops/s 139.3mb/s 615598.0ns/op [38ns - 193127839ns]
closefile10          178123ops    17809ops/s   0.0mb/s    998.0ns/op [257ns - 5299400ns]
readfile10           178123ops    17809ops/s 274.2mb/s   7985.4ns/op [886ns - 29769465ns]
openfile10           178123ops    17809ops/s   0.0mb/s 112570.4ns/op [1434ns - 117975550ns]
closefile9           178123ops    17809ops/s   0.0mb/s    931.5ns/op [253ns - 4509979ns]
readfile9            178123ops    17809ops/s 274.1mb/s   9091.2ns/op [990ns - 31970275ns]
openfile9            178126ops    17810ops/s   0.0mb/s 113639.0ns/op [1488ns - 85632540ns]
closefile8           178127ops    17810ops/s   0.0mb/s   1296.5ns/op [252ns - 20391486ns]
readfile8            178127ops    17810ops/s 275.0mb/s   8095.8ns/op [956ns - 19198798ns]
openfile8            178127ops    17810ops/s   0.0mb/s 112576.6ns/op [1432ns - 125918581ns]
closefile7           178128ops    17810ops/s   0.0mb/s   1207.3ns/op [258ns - 29870992ns]
readfile7            178128ops    17810ops/s 274.6mb/s   8488.4ns/op [870ns - 28136004ns]
openfile7            178126ops    17810ops/s   0.0mb/s 114901.5ns/op [1435ns - 101437766ns]
closefile6           178129ops    17810ops/s   0.0mb/s   1156.7ns/op [259ns - 13626786ns]
readfile6            178129ops    17810ops/s 272.3mb/s   8097.0ns/op [954ns - 29243798ns]
openfile6            178133ops    17810ops/s   0.0mb/s 110075.2ns/op [1428ns - 62773320ns]
closefile5           178136ops    17811ops/s   0.0mb/s   1006.5ns/op [258ns - 6791828ns]
readfile5            178136ops    17811ops/s 274.8mb/s   9174.0ns/op [886ns - 138921437ns]
openfile5            178138ops    17811ops/s   0.0mb/s 115455.3ns/op [1461ns - 103593751ns]
closefile4           178137ops    17811ops/s   0.0mb/s   1030.7ns/op [260ns - 7677089ns]
readfile4            178137ops    17811ops/s 275.2mb/s   8464.5ns/op [910ns - 30084072ns]
openfile4            178138ops    17811ops/s   0.0mb/s 114449.3ns/op [1528ns - 78173226ns]
closefile3           178138ops    17811ops/s   0.0mb/s    936.3ns/op [260ns - 7179013ns]
readfile3            178138ops    17811ops/s 274.2mb/s   8088.4ns/op [978ns - 29509498ns]
openfile3            178137ops    17811ops/s   0.0mb/s 121525.8ns/op [1533ns - 105769434ns]
closefile2           178140ops    17811ops/s   0.0mb/s    959.9ns/op [260ns - 10156100ns]
readfile2            178140ops    17811ops/s 274.9mb/s   9243.3ns/op [1035ns - 76635395ns]
openfile2            178141ops    17811ops/s   0.0mb/s 123882.0ns/op [1625ns - 108019729ns]
closefile1           178140ops    17811ops/s   0.0mb/s   1183.9ns/op [261ns - 29158048ns]
readfile1            178140ops    17811ops/s 274.4mb/s   9067.4ns/op [821ns - 32044199ns]
openfile1            178138ops    17811ops/s   0.0mb/s 123580.3ns/op [1526ns - 101135415ns]
21.709: IO Summary: 5522090 ops 552115.662 ops/s 178102/17809 rd/wr 2883.0mb/s   0.2ms/op
31.750: parser_run Run took 30 seconds...
31.802: Per-Operation Breakdown
appendlog            183304ops    18262ops/s 142.9mb/s 410029.9ns/op [34ns - 102309208ns]
closefile10          183309ops    18262ops/s   0.0mb/s   1167.9ns/op [260ns - 29343733ns]
readfile10           183309ops    18262ops/s 281.4mb/s   7563.1ns/op [963ns - 12451860ns]
openfile10           183314ops    18263ops/s   0.0mb/s 115806.2ns/op [1353ns - 104506697ns]
closefile9           183315ops    18263ops/s   0.0mb/s   1065.5ns/op [266ns - 7827107ns]
readfile9            183315ops    18263ops/s 281.1mb/s   8279.5ns/op [947ns - 12703706ns]
openfile9            183323ops    18264ops/s   0.0mb/s 114227.6ns/op [1362ns - 117800838ns]
closefile8           183328ops    18264ops/s   0.0mb/s    858.8ns/op [260ns - 3172341ns]
readfile8            183329ops    18264ops/s 281.7mb/s   8015.0ns/op [891ns - 31701523ns]
openfile8            183335ops    18265ops/s   0.0mb/s 113574.0ns/op [1445ns - 118741165ns]
closefile7           183335ops    18265ops/s   0.0mb/s   1293.1ns/op [262ns - 31502491ns]
readfile7            183335ops    18265ops/s 280.4mb/s   7795.6ns/op [989ns - 13214032ns]
openfile7            183337ops    18265ops/s   0.0mb/s 116655.8ns/op [1361ns - 117309618ns]
closefile6           183338ops    18265ops/s   0.0mb/s   1008.9ns/op [261ns - 7670857ns]
readfile6            183338ops    18265ops/s 281.8mb/s   9107.4ns/op [1017ns - 32490596ns]
openfile6            183339ops    18265ops/s   0.0mb/s 115259.1ns/op [1549ns - 68378077ns]
closefile5           183340ops    18265ops/s   0.0mb/s   1009.0ns/op [266ns - 21457476ns]
readfile5            183340ops    18265ops/s 281.9mb/s   8559.0ns/op [1042ns - 12854392ns]
openfile5            183340ops    18265ops/s   0.0mb/s 118001.5ns/op [1613ns - 106735419ns]
closefile4           183342ops    18265ops/s   0.0mb/s    997.9ns/op [259ns - 4570036ns]
readfile4            183343ops    18266ops/s 281.3mb/s   8188.3ns/op [1037ns - 32761276ns]
openfile4            183348ops    18266ops/s   0.0mb/s 117891.1ns/op [1620ns - 105024870ns]
closefile3           183349ops    18266ops/s   0.0mb/s    928.2ns/op [258ns - 4991651ns]
readfile3            183349ops    18266ops/s 281.7mb/s   8337.4ns/op [954ns - 10096790ns]
openfile3            183354ops    18267ops/s   0.0mb/s 123987.3ns/op [1696ns - 116246652ns]
closefile2           183355ops    18267ops/s   0.0mb/s    988.4ns/op [263ns - 4350433ns]
readfile2            183356ops    18267ops/s 280.9mb/s   8458.9ns/op [1023ns - 16085588ns]
openfile2            183360ops    18267ops/s   0.0mb/s 127403.2ns/op [1772ns - 118333917ns]
closefile1           183363ops    18268ops/s   0.0mb/s   1444.9ns/op [295ns - 42002962ns]
readfile1            183363ops    18268ops/s 281.6mb/s   8538.9ns/op [1021ns - 17634674ns]
openfile1            183369ops    18268ops/s   0.0mb/s 128535.1ns/op [1958ns - 120652014ns]
31.802: IO Summary: 5683474 ops 566216.698 ops/s 182650/18262 rd/wr 2956.7mb/s   0.2ms/op
41.894: parser_run Run took 40 seconds...
41.947: Per-Operation Breakdown
appendlog            176331ops    17477ops/s 136.5mb/s 659820.2ns/op [36ns - 162190492ns]
closefile10          176326ops    17476ops/s   0.0mb/s   1077.8ns/op [252ns - 20027051ns]
readfile10           176326ops    17476ops/s 268.8mb/s   8774.5ns/op [946ns - 21877640ns]
openfile10           176321ops    17476ops/s   0.0mb/s 115619.4ns/op [1307ns - 70991051ns]
closefile9           176323ops    17476ops/s   0.0mb/s    969.8ns/op [255ns - 7619167ns]
readfile9            176323ops    17476ops/s 269.0mb/s   8690.6ns/op [952ns - 22507648ns]
