Filebench Version 1.5-alpha3
0.000: Allocated 173MB of shared memory
0.001: Web-server Version 3.1 personality successfully loaded
0.001: Populating and pre-allocating filesets
0.001: logfiles populated: 1 files, avg. dir. width = 20, avg. dir. depth = 0.0, 0 leafdirs, 0.002MB total size
0.001: Removing logfiles tree (if exists)
0.002: Pre-allocating directories in logfiles tree
0.002: Pre-allocating files in logfiles tree
0.006: bigfileset populated: 8000 files, avg. dir. width = 20, avg. dir. depth = 3.0, 0 leafdirs, 123.244MB total size
0.006: Removing bigfileset tree (if exists)
0.596: Pre-allocating directories in bigfileset tree
0.600: Pre-allocating files in bigfileset tree
1.091: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
1.091: Population and pre-allocation of filesets completed
1.091: Starting 1 filereader instances
2.095: Running...and log for each ten seconds...
12.101: parser_run Run took 10 seconds...
12.150: Per-Operation Breakdown
appendlog            137546ops    13754ops/s 107.3mb/s 3430779.8ns/op [28ns - 255693738ns]
closefile10          137456ops    13745ops/s   0.0mb/s    793.4ns/op [252ns - 5039995ns]
readfile10           137456ops    13745ops/s 211.2mb/s   7893.8ns/op [757ns - 99283866ns]
openfile10           137457ops    13745ops/s   0.0mb/s 103203.7ns/op [1268ns - 162698842ns]
closefile9           137464ops    13745ops/s   0.0mb/s    699.3ns/op [252ns - 4666998ns]
readfile9            137465ops    13745ops/s 211.7mb/s  10213.7ns/op [917ns - 99635313ns]
openfile9            137465ops    13745ops/s   0.0mb/s  91426.7ns/op [1367ns - 208200372ns]
closefile8           137469ops    13746ops/s   0.0mb/s    724.3ns/op [249ns - 6499342ns]
readfile8            137469ops    13746ops/s 212.0mb/s  11372.1ns/op [875ns - 101399295ns]
openfile8            137475ops    13746ops/s   0.0mb/s  93913.9ns/op [1285ns - 172229693ns]
closefile7           137480ops    13747ops/s   0.0mb/s    724.3ns/op [251ns - 3116369ns]
readfile7            137480ops    13747ops/s 212.2mb/s   9543.1ns/op [929ns - 110480403ns]
openfile7            137481ops    13747ops/s   0.0mb/s  99754.4ns/op [1299ns - 172559951ns]
closefile6           137482ops    13747ops/s   0.0mb/s    732.6ns/op [248ns - 3183770ns]
readfile6            137482ops    13747ops/s 211.9mb/s  10737.2ns/op [914ns - 100584752ns]
openfile6            137485ops    13747ops/s   0.0mb/s  94410.5ns/op [1289ns - 199692499ns]
closefile5           137488ops    13748ops/s   0.0mb/s    713.4ns/op [258ns - 1960347ns]
readfile5            137488ops    13748ops/s 212.4mb/s   9660.0ns/op [908ns - 101535380ns]
openfile5            137491ops    13748ops/s   0.0mb/s  96064.4ns/op [1320ns - 199724954ns]
closefile4           137495ops    13748ops/s   0.0mb/s    670.7ns/op [247ns - 1869006ns]
readfile4            137495ops    13748ops/s 211.1mb/s  10589.8ns/op [903ns - 101420601ns]
openfile4            137500ops    13749ops/s   0.0mb/s  98636.8ns/op [1254ns - 130593986ns]
closefile3           137503ops    13749ops/s   0.0mb/s    684.1ns/op [256ns - 2255906ns]
readfile3            137504ops    13749ops/s 212.2mb/s   7708.3ns/op [944ns - 98773680ns]
openfile3            137507ops    13750ops/s   0.0mb/s 106334.7ns/op [1385ns - 168926833ns]
closefile2           137510ops    13750ops/s   0.0mb/s    900.1ns/op [250ns - 18893689ns]
readfile2            137510ops    13750ops/s 211.0mb/s   9371.9ns/op [963ns - 100587528ns]
openfile2            137511ops    13750ops/s   0.0mb/s 105076.8ns/op [1431ns - 174816507ns]
closefile1           137515ops    13750ops/s   0.0mb/s    890.7ns/op [260ns - 11537506ns]
readfile1            137515ops    13750ops/s 212.0mb/s  19002.3ns/op [898ns - 101413509ns]
openfile1            137518ops    13751ops/s   0.0mb/s 109419.3ns/op [1599ns - 169180007ns]
12.150: IO Summary: 4262162 ops 426182.607 ops/s 137476/13754 rd/wr 2225.1mb/s   0.4ms/op
22.153: parser_run Run took 20 seconds...
22.202: Per-Operation Breakdown
appendlog            123749ops    12374ops/s  96.4mb/s 3784442.8ns/op [32ns - 235755067ns]
closefile10          123746ops    12374ops/s   0.0mb/s    642.5ns/op [248ns - 1132984ns]
readfile10           123746ops    12374ops/s 190.7mb/s   6380.1ns/op [906ns - 37797718ns]
openfile10           123745ops    12374ops/s   0.0mb/s  83243.1ns/op [1270ns - 166643100ns]
closefile9           123738ops    12373ops/s   0.0mb/s    713.9ns/op [251ns - 4144816ns]
readfile9            123737ops    12373ops/s 191.5mb/s   6448.2ns/op [914ns - 31995408ns]
openfile9            123738ops    12373ops/s   0.0mb/s  86529.5ns/op [1308ns - 164228632ns]
closefile8           123734ops    12373ops/s   0.0mb/s    757.2ns/op [254ns - 10266099ns]
