Filebench Version 1.5-alpha3
0.000: Allocated 173MB of shared memory
0.001: Web-server Version 3.1 personality successfully loaded
0.001: Populating and pre-allocating filesets
0.001: logfiles populated: 1 files, avg. dir. width = 20, avg. dir. depth = 0.0, 0 leafdirs, 0.002MB total size
0.001: Removing logfiles tree (if exists)
0.002: Pre-allocating directories in logfiles tree
0.002: Pre-allocating files in logfiles tree
0.006: bigfileset populated: 8000 files, avg. dir. width = 20, avg. dir. depth = 3.0, 0 leafdirs, 123.244MB total size
0.006: Removing bigfileset tree (if exists)
0.810: Pre-allocating directories in bigfileset tree
0.814: Pre-allocating files in bigfileset tree
1.518: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
1.518: Population and pre-allocation of filesets completed
1.518: Starting 1 filereader instances
2.521: Running...and log for each ten seconds...
12.525: parser_run Run took 10 seconds...
12.575: Per-Operation Breakdown
appendlog            113512ops    11350ops/s  88.7mb/s 5563821.2ns/op [37ns - 312994479ns]
closefile10          113471ops    11346ops/s   0.0mb/s    773.9ns/op [250ns - 16136808ns]
readfile10           113471ops    11346ops/s 174.6mb/s   5900.7ns/op [787ns - 9885511ns]
openfile10           113471ops    11346ops/s   0.0mb/s  64256.8ns/op [1400ns - 165248171ns]
closefile9           113471ops    11346ops/s   0.0mb/s   2809.2ns/op [254ns - 166988776ns]
readfile9            113471ops    11346ops/s 174.5mb/s   6984.5ns/op [827ns - 77040574ns]
openfile9            113471ops    11346ops/s   0.0mb/s  67812.1ns/op [1415ns - 155687975ns]
closefile8           113471ops    11346ops/s   0.0mb/s    763.0ns/op [257ns - 4751112ns]
readfile8            113471ops    11346ops/s 174.7mb/s   6588.3ns/op [802ns - 31220274ns]
openfile8            113471ops    11346ops/s   0.0mb/s  65471.7ns/op [1424ns - 149223175ns]
closefile7           113471ops    11346ops/s   0.0mb/s   1465.5ns/op [254ns - 64039667ns]
readfile7            113471ops    11346ops/s 174.8mb/s   6058.8ns/op [895ns - 32586488ns]
openfile7            113471ops    11346ops/s   0.0mb/s  75500.7ns/op [1367ns - 157321391ns]
closefile6           113471ops    11346ops/s   0.0mb/s    916.5ns/op [248ns - 22556623ns]
readfile6            113471ops    11346ops/s 175.0mb/s   6320.2ns/op [843ns - 16208368ns]
openfile6            113471ops    11346ops/s   0.0mb/s  71845.6ns/op [1406ns - 181544649ns]
closefile5           113471ops    11346ops/s   0.0mb/s   1995.1ns/op [252ns - 112952530ns]
readfile5            113471ops    11346ops/s 175.5mb/s   6644.3ns/op [793ns - 56013155ns]
openfile5            113471ops    11346ops/s   0.0mb/s  73056.0ns/op [1384ns - 165630817ns]
closefile4           113471ops    11346ops/s   0.0mb/s    662.8ns/op [252ns - 1305938ns]
readfile4            113471ops    11346ops/s 175.3mb/s   7570.0ns/op [876ns - 89012579ns]
openfile4            113471ops    11346ops/s   0.0mb/s  74749.1ns/op [1391ns - 173799133ns]
closefile3           113471ops    11346ops/s   0.0mb/s    969.2ns/op [257ns - 19983908ns]
readfile3            113471ops    11346ops/s 174.5mb/s   6282.7ns/op [904ns - 37251683ns]
openfile3            113471ops    11346ops/s   0.0mb/s  87413.8ns/op [1409ns - 191284501ns]
closefile2           113471ops    11346ops/s   0.0mb/s    979.8ns/op [251ns - 10479268ns]
readfile2            113471ops    11346ops/s 174.1mb/s   6738.7ns/op [909ns - 73354531ns]
openfile2            113471ops    11346ops/s   0.0mb/s  82587.5ns/op [1404ns - 164117196ns]
closefile1           113471ops    11346ops/s   0.0mb/s   1241.3ns/op [264ns - 33795004ns]
readfile1            113471ops    11346ops/s 174.9mb/s 142544.1ns/op [805ns - 467528127ns]
openfile1            113471ops    11346ops/s   0.0mb/s  84260.9ns/op [1521ns - 129075083ns]
12.575: IO Summary: 3517642 ops 351736.583 ops/s 113462/11350 rd/wr 1836.6mb/s   0.6ms/op
22.609: parser_run Run took 20 seconds...
22.657: Per-Operation Breakdown
appendlog            111870ops    11152ops/s  87.2mb/s 5082125.6ns/op [40ns - 278794652ns]
closefile10          111871ops    11152ops/s   0.0mb/s    882.9ns/op [255ns - 23400464ns]
readfile10           111871ops    11152ops/s 171.5mb/s   6374.6ns/op [866ns - 44498176ns]
openfile10           111877ops    11153ops/s   0.0mb/s  65099.9ns/op [1362ns - 118255074ns]
closefile9           111881ops    11153ops/s   0.0mb/s    683.9ns/op [246ns - 2098058ns]
readfile9            111881ops    11153ops/s 171.2mb/s   7107.5ns/op [858ns - 49453420ns]
openfile9            111887ops    11154ops/s   0.0mb/s  72049.4ns/op [1371ns - 176322009ns]
closefile8           111892ops    11154ops/s   0.0mb/s    999.4ns/op [248ns - 27851336ns]
readfile8            111892ops    11154ops/s 172.2mb/s   6022.8ns/op [859ns - 20321233ns]
openfile8            111898ops    11155ops/s   0.0mb/s  76839.2ns/op [1340ns - 140471134ns]
closefile7           111904ops    11155ops/s   0.0mb/s    892.9ns/op [251ns - 23993713ns]
readfile7            111904ops    11155ops/s 172.1mb/s   6204.8ns/op [911ns - 15140681ns]
openfile7            111908ops    11156ops/s   0.0mb/s  67091.2ns/op [1358ns - 128310341ns]
closefile6           111912ops    11156ops/s   0.0mb/s    664.8ns/op [252ns - 2278391ns]
readfile6            111912ops    11156ops/s 172.2mb/s   6690.9ns/op [869ns - 30901179ns]
openfile6            111914ops    11156ops/s   0.0mb/s  72571.9ns/op [1419ns - 138733651ns]
closefile5           111918ops    11157ops/s   0.0mb/s    867.3ns/op [249ns - 14563607ns]
readfile5            111918ops    11157ops/s 172.0mb/s   6954.8ns/op [886ns - 40247243ns]
openfile5            111926ops    11157ops/s   0.0mb/s  78814.5ns/op [1357ns - 156340997ns]
closefile4           111930ops    11158ops/s   0.0mb/s   1781.3ns/op [251ns - 117863644ns]
readfile4            111930ops    11158ops/s 171.4mb/s   7182.2ns/op [813ns - 79419325ns]
openfile4            111936ops    11158ops/s   0.0mb/s  83741.7ns/op [1399ns - 205261772ns]
closefile3           111940ops    11159ops/s   0.0mb/s    753.0ns/op [254ns - 7432569ns]
readfile3            111940ops    11159ops/s 171.7mb/s   8484.6ns/op [902ns - 48503482ns]
openfile3            111942ops    11159ops/s   0.0mb/s  79148.3ns/op [1297ns - 136857670ns]
closefile2           111947ops    11159ops/s   0.0mb/s    715.7ns/op [254ns - 2317375ns]
readfile2            111947ops    11159ops/s 172.1mb/s   7690.5ns/op [874ns - 76705252ns]
openfile2            111955ops    11160ops/s   0.0mb/s  92122.0ns/op [1424ns - 143380184ns]
closefile1           111961ops    11161ops/s   0.0mb/s    849.7ns/op [269ns - 6634014ns]
readfile1            111962ops    11161ops/s 172.3mb/s   7161.0ns/op [835ns - 28468523ns]
openfile1            111964ops    11161ops/s   0.0mb/s  94471.6ns/op [1463ns - 171369191ns]
22.657: IO Summary: 3469390 ops 345848.045 ops/s 111564/11152 rd/wr 1806.0mb/s   0.5ms/op
32.700: parser_run Run took 30 seconds...
32.749: Per-Operation Breakdown
