Filebench Version 1.5-alpha3
0.000: Allocated 173MB of shared memory
0.001: Web-server Version 3.1 personality successfully loaded
0.001: Populating and pre-allocating filesets
0.001: logfiles populated: 1 files, avg. dir. width = 20, avg. dir. depth = 0.0, 0 leafdirs, 0.002MB total size
0.001: Removing logfiles tree (if exists)
0.002: Pre-allocating directories in logfiles tree
0.002: Pre-allocating files in logfiles tree
0.006: bigfileset populated: 8000 files, avg. dir. width = 20, avg. dir. depth = 3.0, 0 leafdirs, 123.244MB total size
0.006: Removing bigfileset tree (if exists)
0.751: Pre-allocating directories in bigfileset tree
0.755: Pre-allocating files in bigfileset tree
1.377: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
1.377: Population and pre-allocation of filesets completed
1.377: Starting 1 filereader instances
2.381: Running...and log for each ten seconds...
12.384: parser_run Run took 10 seconds...
12.436: Per-Operation Breakdown
appendlog            118580ops    11857ops/s  92.3mb/s 4911871.5ns/op [36ns - 303307820ns]
closefile10          118520ops    11851ops/s   0.0mb/s    693.6ns/op [246ns - 1937963ns]
readfile10           118520ops    11851ops/s 182.4mb/s   6121.3ns/op [860ns - 14673085ns]
openfile10           118520ops    11851ops/s   0.0mb/s  79219.0ns/op [1280ns - 244711753ns]
closefile9           118520ops    11851ops/s   0.0mb/s    735.3ns/op [250ns - 11743108ns]
readfile9            118520ops    11851ops/s 182.2mb/s   6640.9ns/op [787ns - 39941883ns]
openfile9            118520ops    11851ops/s   0.0mb/s  79249.8ns/op [1427ns - 189106756ns]
closefile8           118520ops    11851ops/s   0.0mb/s    846.8ns/op [250ns - 14575252ns]
readfile8            118520ops    11851ops/s 182.2mb/s   6572.1ns/op [856ns - 32291393ns]
openfile8            118520ops    11851ops/s   0.0mb/s  83544.9ns/op [1402ns - 157606156ns]
closefile7           118520ops    11851ops/s   0.0mb/s    689.9ns/op [254ns - 2390762ns]
readfile7            118520ops    11851ops/s 182.6mb/s   6000.8ns/op [884ns - 13897170ns]
openfile7            118520ops    11851ops/s   0.0mb/s  88420.0ns/op [1398ns - 148530655ns]
closefile6           118520ops    11851ops/s   0.0mb/s    749.8ns/op [252ns - 3968161ns]
readfile6            118520ops    11851ops/s 182.6mb/s   6530.1ns/op [825ns - 22190663ns]
openfile6            118520ops    11851ops/s   0.0mb/s  94358.3ns/op [1414ns - 238936491ns]
closefile5           118520ops    11851ops/s   0.0mb/s   1094.3ns/op [250ns - 48643415ns]
readfile5            118520ops    11851ops/s 182.2mb/s   7175.3ns/op [914ns - 59498066ns]
openfile5            118520ops    11851ops/s   0.0mb/s  85013.9ns/op [1351ns - 158319757ns]
closefile4           118520ops    11851ops/s   0.0mb/s   1365.6ns/op [250ns - 78079537ns]
readfile4            118520ops    11851ops/s 182.8mb/s   7577.6ns/op [894ns - 82913445ns]
openfile4            118520ops    11851ops/s   0.0mb/s  92139.6ns/op [1359ns - 164281880ns]
closefile3           118520ops    11851ops/s   0.0mb/s   1205.2ns/op [250ns - 50367704ns]
readfile3            118520ops    11851ops/s 182.3mb/s   6421.3ns/op [820ns - 28929433ns]
openfile3            118520ops    11851ops/s   0.0mb/s  87411.8ns/op [1396ns - 149692860ns]
closefile2           118520ops    11851ops/s   0.0mb/s    769.0ns/op [257ns - 3161629ns]
readfile2            118520ops    11851ops/s 183.0mb/s   7228.7ns/op [863ns - 52036258ns]
openfile2            118520ops    11851ops/s   0.0mb/s  99042.3ns/op [1368ns - 155266288ns]
closefile1           118520ops    11851ops/s   0.0mb/s    768.8ns/op [267ns - 2602785ns]
readfile1            118520ops    11851ops/s 183.2mb/s   7008.7ns/op [870ns - 45503542ns]
openfile1            118520ops    11851ops/s   0.0mb/s 103376.0ns/op [1509ns - 242196046ns]
12.436: IO Summary: 3674180 ops 367391.683 ops/s 118512/11857 rd/wr 1918.0mb/s   0.5ms/op
22.467: parser_run Run took 20 seconds...
22.515: Per-Operation Breakdown
appendlog            112686ops    11237ops/s  87.9mb/s 4773358.9ns/op [36ns - 288693323ns]
closefile10          112687ops    11238ops/s   0.0mb/s   1061.2ns/op [248ns - 20119620ns]
readfile10           112687ops    11238ops/s 173.0mb/s   7502.1ns/op [770ns - 86175337ns]
openfile10           112690ops    11238ops/s   0.0mb/s  78516.9ns/op [1353ns - 180931446ns]
closefile9           112693ops    11238ops/s   0.0mb/s   1037.0ns/op [253ns - 33865491ns]
readfile9            112693ops    11238ops/s 173.4mb/s   6752.6ns/op [827ns - 69521786ns]
openfile9            112694ops    11238ops/s   0.0mb/s  81176.9ns/op [1374ns - 154241259ns]
closefile8           112695ops    11238ops/s   0.0mb/s    747.9ns/op [253ns - 5577927ns]
readfile8            112695ops    11238ops/s 173.2mb/s   6480.7ns/op [898ns - 27425666ns]
openfile8            112697ops    11239ops/s   0.0mb/s  78522.1ns/op [1347ns - 180853940ns]
closefile7           112704ops    11239ops/s   0.0mb/s    793.1ns/op [248ns - 10709763ns]
readfile7            112704ops    11239ops/s 172.6mb/s   6102.0ns/op [867ns - 25775670ns]
openfile7            112705ops    11239ops/s   0.0mb/s  82941.5ns/op [1330ns - 192176206ns]
closefile6           112705ops    11239ops/s   0.0mb/s    670.8ns/op [252ns - 1639437ns]
readfile6            112706ops    11239ops/s 173.2mb/s   5881.9ns/op [843ns - 8643702ns]
openfile6            112709ops    11240ops/s   0.0mb/s  80566.8ns/op [1354ns - 132562207ns]
closefile5           112713ops    11240ops/s   0.0mb/s   1006.4ns/op [249ns - 19646283ns]
readfile5            112714ops    11240ops/s 173.5mb/s   7411.7ns/op [805ns - 46496135ns]
openfile5            112714ops    11240ops/s   0.0mb/s  92483.0ns/op [1391ns - 182999064ns]
closefile4           112716ops    11240ops/s   0.0mb/s    906.7ns/op [255ns - 14289577ns]
readfile4            112717ops    11241ops/s 173.4mb/s   6292.8ns/op [827ns - 30399085ns]
openfile4            112722ops    11241ops/s   0.0mb/s  86051.3ns/op [1469ns - 159756304ns]
closefile3           112723ops    11241ops/s   0.0mb/s    973.1ns/op [251ns - 8557359ns]
readfile3            112723ops    11241ops/s 173.5mb/s   6993.7ns/op [877ns - 28028236ns]
openfile3            112723ops    11241ops/s   0.0mb/s  84332.2ns/op [1286ns - 181804760ns]
closefile2           112724ops    11241ops/s   0.0mb/s    761.5ns/op [258ns - 8044711ns]
readfile2            112724ops    11241ops/s 172.7mb/s   6903.5ns/op [814ns - 78712653ns]
openfile2            112726ops    11241ops/s   0.0mb/s  91199.8ns/op [1290ns - 128564874ns]
closefile1           112726ops    11241ops/s   0.0mb/s    826.5ns/op [260ns - 4876069ns]
readfile1            112726ops    11241ops/s 173.1mb/s   8669.6ns/op [936ns - 116161961ns]
openfile1            112729ops    11242ops/s   0.0mb/s  97061.7ns/op [1515ns - 187185210ns]
22.515: IO Summary: 3493970 ops 348432.462 ops/s 112398/11237 rd/wr 1819.5mb/s   0.5ms/op
32.519: parser_run Run took 30 seconds...
32.573: Per-Operation Breakdown
appendlog            110777ops    11075ops/s  86.7mb/s 5112405.9ns/op [37ns - 367700874ns]
closefile10          110877ops    11085ops/s   0.0mb/s    698.3ns/op [250ns - 3034896ns]
readfile10           110877ops    11085ops/s 171.1mb/s   6681.8ns/op [844ns - 26659013ns]
openfile10           110874ops    11084ops/s   0.0mb/s  72377.9ns/op [1453ns - 199597679ns]
closefile9           110871ops    11084ops/s   0.0mb/s   1125.0ns/op [254ns - 39734013ns]
readfile9            110871ops    11084ops/s 170.1mb/s   6731.6ns/op [853ns - 38002781ns]
openfile9            110870ops    11084ops/s   0.0mb/s  79052.2ns/op [1381ns - 241363663ns]
closefile8           110869ops    11084ops/s   0.0mb/s    718.4ns/op [258ns - 5092505ns]
readfile8            110869ops    11084ops/s 171.3mb/s   6644.0ns/op [878ns - 49583356ns]
openfile8            110867ops    11084ops/s   0.0mb/s  74588.0ns/op [1462ns - 172443362ns]
closefile7           110860ops    11083ops/s   0.0mb/s    758.2ns/op [251ns - 3149615ns]
readfile7            110860ops    11083ops/s 170.5mb/s   7018.6ns/op [930ns - 57183047ns]
openfile7            110859ops    11083ops/s   0.0mb/s  65697.2ns/op [1426ns - 147106435ns]
closefile6           110859ops    11083ops/s   0.0mb/s    795.7ns/op [259ns - 9668578ns]
readfile6            110858ops    11083ops/s 170.5mb/s   7205.9ns/op [837ns - 54709278ns]
openfile6            110855ops    11082ops/s   0.0mb/s  69637.5ns/op [1472ns - 190741323ns]
closefile5           110851ops    11082ops/s   0.0mb/s    667.5ns/op [256ns - 4053101ns]
readfile5            110850ops    11082ops/s 170.7mb/s   6932.3ns/op [884ns - 67327719ns]
openfile5            110850ops    11082ops/s   0.0mb/s  76508.4ns/op [1500ns - 211127342ns]
