Filebench Version 1.5-alpha3
0.000: Allocated 173MB of shared memory
0.002: Web-server Version 3.1 personality successfully loaded
0.002: Populating and pre-allocating filesets
0.004: logfiles populated: 1 files, avg. dir. width = 20, avg. dir. depth = 0.0, 0 leafdirs, 0.002MB total size
0.004: Removing logfiles tree (if exists)
0.007: Pre-allocating directories in logfiles tree
0.007: Pre-allocating files in logfiles tree
0.011: bigfileset populated: 8000 files, avg. dir. width = 20, avg. dir. depth = 3.0, 0 leafdirs, 123.244MB total size
0.011: Removing bigfileset tree (if exists)
0.293: Pre-allocating directories in bigfileset tree
0.296: Pre-allocating files in bigfileset tree
0.417: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
0.417: Population and pre-allocation of filesets completed
0.417: Starting 1 filereader instances
1.421: Running...and log for each ten seconds...
11.424: parser_run Run took 10 seconds...
11.476: Per-Operation Breakdown
appendlog            183273ops    18324ops/s 143.0mb/s 546303.4ns/op [35ns - 311959040ns]
closefile10          183178ops    18314ops/s   0.0mb/s    892.9ns/op [253ns - 35079373ns]
readfile10           183178ops    18314ops/s 282.1mb/s   9971.2ns/op [894ns - 25657933ns]
openfile10           183178ops    18314ops/s   0.0mb/s 120734.9ns/op [1352ns - 137835199ns]
closefile9           183180ops    18315ops/s   0.0mb/s    851.6ns/op [253ns - 17196748ns]
readfile9            183180ops    18315ops/s 282.3mb/s  10511.7ns/op [810ns - 27347534ns]
openfile9            183182ops    18315ops/s   0.0mb/s 121829.9ns/op [1384ns - 249637678ns]
closefile8           183186ops    18315ops/s   0.0mb/s    948.6ns/op [251ns - 16096339ns]
readfile8            183186ops    18315ops/s 282.8mb/s  10912.1ns/op [844ns - 41865663ns]
openfile8            183187ops    18315ops/s   0.0mb/s 117886.3ns/op [1386ns - 55609553ns]
closefile7           183194ops    18316ops/s   0.0mb/s    876.0ns/op [248ns - 16178166ns]
readfile7            183194ops    18316ops/s 281.8mb/s  11049.3ns/op [881ns - 32014611ns]
openfile7            183194ops    18316ops/s   0.0mb/s 120491.5ns/op [1387ns - 132885125ns]
closefile6           183197ops    18316ops/s   0.0mb/s    744.0ns/op [248ns - 3875073ns]
readfile6            183197ops    18316ops/s 282.9mb/s  12217.4ns/op [877ns - 25717768ns]
openfile6            183201ops    18317ops/s   0.0mb/s 123733.0ns/op [1404ns - 137611021ns]
closefile5           183208ops    18317ops/s   0.0mb/s    803.8ns/op [254ns - 9414757ns]
readfile5            183208ops    18317ops/s 282.4mb/s  12076.2ns/op [823ns - 53560702ns]
openfile5            183208ops    18317ops/s   0.0mb/s 126072.2ns/op [1349ns - 179270118ns]
closefile4           183211ops    18318ops/s   0.0mb/s    805.5ns/op [253ns - 6158177ns]
readfile4            183211ops    18318ops/s 282.5mb/s  10712.9ns/op [877ns - 41416394ns]
openfile4            183213ops    18318ops/s   0.0mb/s 129101.8ns/op [1407ns - 178760139ns]
closefile3           183219ops    18318ops/s   0.0mb/s    848.6ns/op [249ns - 14204327ns]
readfile3            183219ops    18318ops/s 281.1mb/s  10975.4ns/op [848ns - 61661482ns]
openfile3            183220ops    18319ops/s   0.0mb/s 130434.5ns/op [1453ns - 83436070ns]
closefile2           183225ops    18319ops/s   0.0mb/s    850.8ns/op [249ns - 5163441ns]
readfile2            183225ops    18319ops/s 282.3mb/s  10998.5ns/op [858ns - 18719364ns]
openfile2            183227ops    18319ops/s   0.0mb/s 138151.3ns/op [1413ns - 155794107ns]
closefile1           183231ops    18320ops/s   0.0mb/s    869.1ns/op [253ns - 4373494ns]
readfile1            183231ops    18320ops/s 281.6mb/s  11897.1ns/op [899ns - 66906969ns]
openfile1            183236ops    18320ops/s   0.0mb/s 150387.4ns/op [1564ns - 167629125ns]
11.476: IO Summary: 5679377 ops 567830.874 ops/s 183168/18324 rd/wr 2964.8mb/s   0.2ms/op
21.537: parser_run Run took 20 seconds...
21.590: Per-Operation Breakdown
appendlog            169916ops    16890ops/s 132.1mb/s 542563.6ns/op [32ns - 167148897ns]
closefile10          169915ops    16890ops/s   0.0mb/s    937.4ns/op [249ns - 16628830ns]
readfile10           169915ops    16890ops/s 259.8mb/s   7266.5ns/op [860ns - 66667638ns]
openfile10           169919ops    16890ops/s   0.0mb/s 115618.1ns/op [1186ns - 97446173ns]
closefile9           169924ops    16891ops/s   0.0mb/s   1201.6ns/op [251ns - 56074751ns]
readfile9            169924ops    16891ops/s 260.8mb/s   7442.6ns/op [866ns - 38614987ns]
