Filebench Version 1.5-alpha3
0.000: Allocated 173MB of shared memory
0.001: Web-server Version 3.1 personality successfully loaded
0.001: Populating and pre-allocating filesets
0.001: logfiles populated: 1 files, avg. dir. width = 20, avg. dir. depth = 0.0, 0 leafdirs, 0.002MB total size
0.001: Removing logfiles tree (if exists)
0.002: Pre-allocating directories in logfiles tree
0.002: Pre-allocating files in logfiles tree
0.006: bigfileset populated: 8000 files, avg. dir. width = 20, avg. dir. depth = 3.0, 0 leafdirs, 123.244MB total size
0.006: Removing bigfileset tree (if exists)
0.416: Pre-allocating directories in bigfileset tree
0.419: Pre-allocating files in bigfileset tree
0.558: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
0.558: Population and pre-allocation of filesets completed
0.558: Starting 1 filereader instances
1.567: Running...and log for each ten seconds...
11.571: parser_run Run took 10 seconds...
11.622: Per-Operation Breakdown
appendlog            199090ops    19907ops/s 155.2mb/s 233107.8ns/op [35ns - 133930105ns]
closefile10          198994ops    19898ops/s   0.0mb/s   1080.1ns/op [284ns - 9366843ns]
readfile10           198994ops    19898ops/s 306.8mb/s   8798.4ns/op [984ns - 6950793ns]
openfile10           198996ops    19898ops/s   0.0mb/s 118338.8ns/op [1319ns - 40603267ns]
closefile9           198998ops    19898ops/s   0.0mb/s   1265.0ns/op [284ns - 5865036ns]
readfile9            198998ops    19898ops/s 306.7mb/s   8863.2ns/op [1091ns - 28338259ns]
openfile9            199001ops    19899ops/s   0.0mb/s 117716.0ns/op [1299ns - 56206232ns]
closefile8           199002ops    19899ops/s   0.0mb/s   1144.0ns/op [287ns - 17922747ns]
readfile8            199002ops    19899ops/s 306.4mb/s   9175.4ns/op [1124ns - 13256210ns]
openfile8            199008ops    19899ops/s   0.0mb/s 119793.9ns/op [1376ns - 38457469ns]
closefile7           199010ops    19899ops/s   0.0mb/s   1192.9ns/op [283ns - 15663466ns]
readfile7            199010ops    19899ops/s 306.6mb/s   8660.4ns/op [1112ns - 9002623ns]
openfile7            199016ops    19900ops/s   0.0mb/s 120444.8ns/op [1225ns - 42676723ns]
closefile6           199019ops    19900ops/s   0.0mb/s   1101.3ns/op [277ns - 4087140ns]
readfile6            199019ops    19900ops/s 307.1mb/s   8921.6ns/op [1074ns - 26381980ns]
openfile6            199020ops    19900ops/s   0.0mb/s 118771.6ns/op [1302ns - 36213455ns]
closefile5           199025ops    19901ops/s   0.0mb/s   1139.1ns/op [280ns - 3648979ns]
readfile5            199027ops    19901ops/s 306.3mb/s   8548.2ns/op [1119ns - 14198986ns]
openfile5            199032ops    19902ops/s   0.0mb/s 117689.7ns/op [1244ns - 38485721ns]
closefile4           199035ops    19902ops/s   0.0mb/s   1228.5ns/op [282ns - 7554399ns]
readfile4            199035ops    19902ops/s 306.8mb/s   8846.6ns/op [1078ns - 24700699ns]
openfile4            199039ops    19902ops/s   0.0mb/s 120598.7ns/op [1335ns - 72939100ns]
closefile3           199043ops    19903ops/s   0.0mb/s   1148.6ns/op [284ns - 4167915ns]
readfile3            199044ops    19903ops/s 306.1mb/s   8767.6ns/op [1153ns - 8532347ns]
openfile3            199054ops    19904ops/s   0.0mb/s 123666.3ns/op [1233ns - 37964019ns]
closefile2           199058ops    19904ops/s   0.0mb/s   1124.7ns/op [280ns - 4451998ns]
readfile2            199058ops    19904ops/s 306.3mb/s   9260.9ns/op [1069ns - 43147922ns]
openfile2            199063ops    19905ops/s   0.0mb/s 130602.0ns/op [1363ns - 63668081ns]
closefile1           199066ops    19905ops/s   0.0mb/s   1189.3ns/op [287ns - 3937734ns]
readfile1            199067ops    19905ops/s 306.6mb/s   9108.5ns/op [1130ns - 11212115ns]
openfile1            199072ops    19906ops/s   0.0mb/s 130439.4ns/op [1433ns - 113892826ns]
11.622: IO Summary: 6169895 ops 616940.371 ops/s 199010/19907 rd/wr 3221.0mb/s   0.1ms/op
21.625: parser_run Run took 20 seconds...
21.677: Per-Operation Breakdown
appendlog            175763ops    17575ops/s 137.4mb/s 394492.0ns/op [38ns - 93219235ns]
closefile10          175761ops    17575ops/s   0.0mb/s   1141.7ns/op [341ns - 9214563ns]
readfile10           175762ops    17575ops/s 270.3mb/s   8866.1ns/op [1083ns - 33444014ns]
openfile10           175766ops    17575ops/s   0.0mb/s 126680.8ns/op [1433ns - 112008287ns]
closefile9           175768ops    17576ops/s   0.0mb/s   1371.6ns/op [286ns - 19339678ns]
readfile9            175768ops    17576ops/s 270.7mb/s   9099.5ns/op [1110ns - 30456536ns]
openfile9            175770ops    17576ops/s   0.0mb/s 119819.0ns/op [1442ns - 88900704ns]
closefile8           175771ops    17576ops/s   0.0mb/s   1084.4ns/op [290ns - 17260606ns]
readfile8            175771ops    17576ops/s 270.9mb/s   8209.4ns/op [930ns - 21391841ns]
openfile8            175770ops    17576ops/s   0.0mb/s 120223.3ns/op [1384ns - 69705230ns]
closefile7           175773ops    17576ops/s   0.0mb/s   1258.1ns/op [283ns - 19874015ns]
readfile7            175773ops    17576ops/s 270.9mb/s   8715.4ns/op [953ns - 17067546ns]
openfile7            175771ops    17576ops/s   0.0mb/s 116709.1ns/op [1383ns - 74872040ns]
closefile6           175768ops    17576ops/s   0.0mb/s   1187.6ns/op [294ns - 5725766ns]
readfile6            175768ops    17576ops/s 270.8mb/s   9104.2ns/op [1033ns - 48215857ns]
openfile6            175771ops    17576ops/s   0.0mb/s 123269.6ns/op [1374ns - 72363210ns]
closefile5           175772ops    17576ops/s   0.0mb/s   1242.0ns/op [288ns - 16857913ns]
readfile5            175771ops    17576ops/s 270.5mb/s   9120.0ns/op [1087ns - 19294580ns]
openfile5            175772ops    17576ops/s   0.0mb/s 125055.7ns/op [1406ns - 80044114ns]
closefile4           175774ops    17576ops/s   0.0mb/s   1207.2ns/op [347ns - 22519760ns]
readfile4            175775ops    17576ops/s 271.0mb/s   8986.5ns/op [1070ns - 22389525ns]
openfile4            175777ops    17577ops/s   0.0mb/s 124847.2ns/op [1520ns - 71782497ns]
closefile3           175780ops    17577ops/s   0.0mb/s   1318.2ns/op [280ns - 17844924ns]
readfile3            175779ops    17577ops/s 271.8mb/s   8705.0ns/op [1066ns - 12734797ns]
openfile3            175776ops    17576ops/s   0.0mb/s 129507.8ns/op [1429ns - 84395907ns]
closefile2           175780ops    17577ops/s   0.0mb/s   1162.4ns/op [342ns - 8039217ns]
readfile2            175780ops    17577ops/s 270.3mb/s   9146.6ns/op [1066ns - 16716907ns]
openfile2            175778ops    17577ops/s   0.0mb/s 131145.4ns/op [1383ns - 73772222ns]
closefile1           175782ops    17577ops/s   0.0mb/s   1415.6ns/op [293ns - 28728743ns]
