Filebench Version 1.5-alpha3
0.000: Allocated 173MB of shared memory
0.001: Web-server Version 3.1 personality successfully loaded
0.001: Populating and pre-allocating filesets
0.001: logfiles populated: 1 files, avg. dir. width = 20, avg. dir. depth = 0.0, 0 leafdirs, 0.002MB total size
0.001: Removing logfiles tree (if exists)
0.002: Pre-allocating directories in logfiles tree
0.002: Pre-allocating files in logfiles tree
0.006: bigfileset populated: 8000 files, avg. dir. width = 20, avg. dir. depth = 3.0, 0 leafdirs, 123.244MB total size
0.006: Removing bigfileset tree (if exists)
0.426: Pre-allocating directories in bigfileset tree
0.430: Pre-allocating files in bigfileset tree
0.568: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
0.568: Population and pre-allocation of filesets completed
0.568: Starting 1 filereader instances
1.572: Running...and log for each ten seconds...
11.575: parser_run Run took 10 seconds...
11.624: Per-Operation Breakdown
appendlog            196988ops    19698ops/s 153.8mb/s 379093.3ns/op [40ns - 138322385ns]
closefile10          196892ops    19688ops/s   0.0mb/s   1250.8ns/op [292ns - 12528017ns]
readfile10           196892ops    19688ops/s 303.2mb/s   8787.2ns/op [1047ns - 8941086ns]
openfile10           196896ops    19688ops/s   0.0mb/s 117700.4ns/op [1397ns - 87881534ns]
closefile9           196898ops    19689ops/s   0.0mb/s   1229.2ns/op [285ns - 10141807ns]
readfile9            196898ops    19689ops/s 303.8mb/s   9174.1ns/op [1098ns - 17939975ns]
openfile9            196907ops    19689ops/s   0.0mb/s 119208.2ns/op [1545ns - 69625484ns]
closefile8           196910ops    19690ops/s   0.0mb/s   1352.9ns/op [292ns - 5279711ns]
readfile8            196910ops    19690ops/s 303.1mb/s   8681.0ns/op [1060ns - 19587402ns]
openfile8            196913ops    19690ops/s   0.0mb/s 115286.9ns/op [1510ns - 60194930ns]
closefile7           196920ops    19691ops/s   0.0mb/s   1311.7ns/op [286ns - 27221090ns]
readfile7            196920ops    19691ops/s 303.8mb/s   9232.3ns/op [937ns - 22496544ns]
openfile7            196922ops    19691ops/s   0.0mb/s 119173.0ns/op [1607ns - 88167090ns]
closefile6           196926ops    19691ops/s   0.0mb/s   1172.7ns/op [284ns - 6774640ns]
readfile6            196926ops    19691ops/s 304.0mb/s   8804.8ns/op [1044ns - 12458286ns]
openfile6            196929ops    19692ops/s   0.0mb/s 116575.1ns/op [1542ns - 78065438ns]
closefile5           196929ops    19692ops/s   0.0mb/s   1253.4ns/op [286ns - 16629682ns]
